id,user,uid,version,changeset,timestamp
10134575,TheDutchMan13,1330847,5,49209938,2017-06-02T23:38:03Z
10134609,TheDutchMan13,1330847,15,49209938,2017-06-02T23:38:05Z
10134653,torapa,5446055,6,50608999,2017-07-27T06:33:40Z
10134687,TheDutchMan13,1330847,4,49210345,2017-06-03T00:32:53Z
10134741,TheDutchMan13,1330847,5,49209938,2017-06-02T23:38:13Z
10134802,TheDutchMan13,1330847,5,49209938,2017-06-02T23:38:17Z
10134836,TheDutchMan13,1330847,6,49209938,2017-06-02T23:38:19Z
10134885,TheDutchMan13,1330847,5,49210345,2017-06-03T00:33:00Z
10134918,TheDutchMan13,1330847,15,49209938,2017-06-02T23:38:24Z
10134955,bburgon42,151079,5,32211929,2015-06-25T19:16:33Z
10135029,TheDutchMan13,1330847,7,49209938,2017-06-02T23:38:29Z
10135094,TheDutchMan13,1330847,6,49209938,2017-06-02T23:38:32Z
10135156,RichRico,2219338,7,32453246,2015-07-06T16:56:52Z
10135257,TheDutchMan13,1330847,5,49210345,2017-06-03T00:33:11Z
10135324,TheDutchMan13,1330847,5,49210345,2017-06-03T00:33:12Z
10135394,TheDutchMan13,1330847,7,49209938,2017-06-02T23:38:43Z
10135429,TheDutchMan13,1330847,6,49210345,2017-06-03T00:33:15Z
10135458,TheDutchMan13,1330847,4,49209938,2017-06-02T23:38:50Z
10135497,TheDutchMan13,1330847,15,49209938,2017-06-02T23:38:53Z
10135533,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:21Z
10135565,TheDutchMan13,1330847,5,49209938,2017-06-02T23:38:59Z
10135599,TheDutchMan13,1330847,6,49209938,2017-06-02T23:39:01Z
10135634,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:27Z
10135667,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:28Z
10135712,TheDutchMan13,1330847,7,49209938,2017-06-02T23:39:10Z
10135750,TheDutchMan13,1330847,12,49209938,2017-06-02T23:39:13Z
10135786,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:33Z
10135819,TheDutchMan13,1330847,8,49209938,2017-06-02T23:39:19Z
10135854,TheDutchMan13,1330847,7,49209938,2017-06-02T23:39:23Z
10135888,TheDutchMan13,1330847,8,49209938,2017-06-02T23:39:26Z
10135927,TheDutchMan13,1330847,5,49210345,2017-06-03T00:33:39Z
10135971,mvexel,8909,7,25757821,2014-09-29T23:09:03Z
10136013,bburgon42,151079,13,18312183,2013-10-12T10:31:05Z
10136049,TheDutchMan13,1330847,7,49209938,2017-06-02T23:39:36Z
10136077,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:47Z
10136107,osmjwh,5084396,7,52430544,2017-09-28T04:20:23Z
10136136,TheDutchMan13,1330847,9,49209938,2017-06-02T23:39:46Z
10136167,TheDutchMan13,1330847,6,49210345,2017-06-03T00:33:51Z
10136214,TheDutchMan13,1330847,8,49209938,2017-06-02T23:39:53Z
10136241,TheDutchMan13,1330847,4,49209938,2017-06-02T23:39:56Z
10136290,TheDutchMan13,1330847,4,49210345,2017-06-03T00:33:57Z
